Date,DefiVolume
19/01/2022,2.16304E+11
20/01/2022,2.15316E+11
21/01/2022,2.13412E+11
22/01/2022,1.87721E+11
23/01/2022,1.77154E+11
24/01/2022,1.82437E+11
25/01/2022,1.76195E+11
26/01/2022,1.80831E+11
27/01/2022,1.8262E+11
28/01/2022,1.72512E+11
29/01/2022,1.74271E+11
30/01/2022,1.76413E+11
31/01/2022,1.74554E+11
01/02/2022,1.77646E+11
02/02/2022,1.81983E+11
03/02/2022,1.76942E+11
04/02/2022,1.78556E+11
05/02/2022,1.88833E+11
06/02/2022,1.91957E+11
07/02/2022,1.93999E+11
08/02/2022,1.97948E+11
09/02/2022,1.97644E+11
10/02/2022,2.01054E+11
11/02/2022,1.96888E+11
12/02/2022,1.91163E+11
13/02/2022,1.9088E+11
14/02/2022,1.89469E+11
15/02/2022,1.8922E+11
16/02/2022,1.96873E+11
17/02/2022,1.95612E+11
18/02/2022,1.86504E+11
19/02/2022,1.83454E+11
20/02/2022,1.82905E+11
21/02/2022,1.77725E+11
22/02/2022,1.72312E+11
23/02/2022,1.7239E+11
24/02/2022,1.71327E+11
25/02/2022,1.68968E+11
26/02/2022,1.7545E+11
27/02/2022,1.76169E+11
28/02/2022,1.70394E+11
01/03/2022,1.82439E+11
02/03/2022,1.83402E+11
03/03/2022,1.84195E+11
04/03/2022,1.77225E+11
05/03/2022,1.71468E+11
06/03/2022,1.74158E+11
07/03/2022,1.6887E+11
08/03/2022,1.68339E+11
09/03/2022,1.70829E+11
10/03/2022,1.76857E+11
11/03/2022,1.74442E+11
12/03/2022,1.72632E+11
13/03/2022,1.72949E+11
14/03/2022,1.70714E+11
15/03/2022,1.71936E+11
16/03/2022,1.74229E+11
17/03/2022,1.80357E+11
18/03/2022,1.81213E+11
19/03/2022,1.86417E+11
20/03/2022,1.86974E+11
21/03/2022,1.84231E+11
22/03/2022,1.88893E+11
23/03/2022,1.91227E+11
24/03/2022,1.93689E+11
25/03/2022,1.96544E+11
26/03/2022,1.95815E+11
27/03/2022,1.99077E+11
28/03/2022,2.04466E+11
29/03/2022,2.06728E+11
30/03/2022,2.09107E+11
31/03/2022,2.11867E+11
01/04/2022,2.08568E+11
02/04/2022,2.14518E+11
03/04/2022,2.15067E+11
04/04/2022,2.16901E+11
05/04/2022,2.15737E+11
06/04/2022,2.10685E+11
07/04/2022,2.01556E+11
08/04/2022,2.04663E+11
09/04/2022,2.00432E+11
10/04/2022,2.03133E+11
11/04/2022,1.99285E+11
12/04/2022,1.8791E+11
13/04/2022,1.9136E+11
14/04/2022,1.94717E+11
